torch.Size([8, 1, 256, 256]) torch.Size([8, 2, 256, 256])
2500 625
model initialized with norm initialization
model initialized with norm initialization
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 1/30
Iteration 300/2500
loss_D_fake: 0.55583
loss_D_real: 0.59680
loss_D: 0.57632
loss_G_GAN: 1.26514
loss_G_L1: 6.61761
loss_G: 7.88274

Epoch 1/30
Iteration 600/2500
loss_D_fake: 0.55411
loss_D_real: 0.60165
loss_D: 0.57788
loss_G_GAN: 1.20421
loss_G_L1: 5.88609
loss_G: 7.09030

Epoch 1/30
Iteration 900/2500
loss_D_fake: 0.55506
loss_D_real: 0.60839
loss_D: 0.58172
loss_G_GAN: 1.17260
loss_G_L1: 5.61037
loss_G: 6.78297

Epoch 1/30
Iteration 1200/2500
loss_D_fake: 0.55442
loss_D_real: 0.61353
loss_D: 0.58397
loss_G_GAN: 1.14926
loss_G_L1: 5.45399
loss_G: 6.60325

Epoch 1/30
Iteration 1500/2500
loss_D_fake: 0.55263
loss_D_real: 0.61274
loss_D: 0.58268
loss_G_GAN: 1.13901
loss_G_L1: 5.40671
loss_G: 6.54572

Epoch 1/30
Iteration 1800/2500
loss_D_fake: 0.55140
loss_D_real: 0.61249
loss_D: 0.58194
loss_G_GAN: 1.13104
loss_G_L1: 5.40594
loss_G: 6.53698

Epoch 1/30
Iteration 2100/2500
loss_D_fake: 0.55154
loss_D_real: 0.61400
loss_D: 0.58277
loss_G_GAN: 1.12662
loss_G_L1: 5.39477
loss_G: 6.52139

Epoch 1/30
Iteration 2400/2500
loss_D_fake: 0.54803
loss_D_real: 0.61332
loss_D: 0.58068
loss_G_GAN: 1.12580
loss_G_L1: 5.37914
loss_G: 6.50494
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 2/30
Iteration 300/2500
loss_D_fake: 0.52353
loss_D_real: 0.59934
loss_D: 0.56144
loss_G_GAN: 1.13834
loss_G_L1: 5.30124
loss_G: 6.43958

Epoch 2/30
Iteration 600/2500
loss_D_fake: 0.53283
loss_D_real: 0.60686
loss_D: 0.56985
loss_G_GAN: 1.12734
loss_G_L1: 5.20666
loss_G: 6.33400

Epoch 2/30
Iteration 900/2500
loss_D_fake: 0.53002
loss_D_real: 0.60712
loss_D: 0.56857
loss_G_GAN: 1.13446
loss_G_L1: 5.14017
loss_G: 6.27463

Epoch 2/30
Iteration 1200/2500
loss_D_fake: 0.52918
loss_D_real: 0.60842
loss_D: 0.56880
loss_G_GAN: 1.14026
loss_G_L1: 5.10797
loss_G: 6.24823

Epoch 2/30
Iteration 1500/2500
loss_D_fake: 0.52637
loss_D_real: 0.60478
loss_D: 0.56558
loss_G_GAN: 1.14751
loss_G_L1: 5.13149
loss_G: 6.27900

Epoch 2/30
Iteration 1800/2500
loss_D_fake: 0.52569
loss_D_real: 0.60315
loss_D: 0.56442
loss_G_GAN: 1.14785
loss_G_L1: 5.17681
loss_G: 6.32466

Epoch 2/30
Iteration 2100/2500
loss_D_fake: 0.52401
loss_D_real: 0.60048
loss_D: 0.56225
loss_G_GAN: 1.15710
loss_G_L1: 5.20504
loss_G: 6.36214

Epoch 2/30
Iteration 2400/2500
loss_D_fake: 0.52059
loss_D_real: 0.59738
loss_D: 0.55899
loss_G_GAN: 1.16527
loss_G_L1: 5.22472
loss_G: 6.38999
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 3/30
Iteration 300/2500
loss_D_fake: 0.51033
loss_D_real: 0.57744
loss_D: 0.54388
loss_G_GAN: 1.19495
loss_G_L1: 5.29031
loss_G: 6.48526

Epoch 3/30
Iteration 600/2500
loss_D_fake: 0.51885
loss_D_real: 0.58903
loss_D: 0.55394
loss_G_GAN: 1.19023
loss_G_L1: 5.21582
loss_G: 6.40605

Epoch 3/30
Iteration 900/2500
loss_D_fake: 0.51215
loss_D_real: 0.58632
loss_D: 0.54924
loss_G_GAN: 1.18866
loss_G_L1: 5.14418
loss_G: 6.33284

Epoch 3/30
Iteration 1200/2500
loss_D_fake: 0.51660
loss_D_real: 0.59240
loss_D: 0.55450
loss_G_GAN: 1.19268
loss_G_L1: 5.10290
loss_G: 6.29557

Epoch 3/30
Iteration 1500/2500
loss_D_fake: 0.51612
loss_D_real: 0.59128
loss_D: 0.55370
loss_G_GAN: 1.19237
loss_G_L1: 5.13047
loss_G: 6.32285

Epoch 3/30
Iteration 1800/2500
loss_D_fake: 0.51858
loss_D_real: 0.59305
loss_D: 0.55582
loss_G_GAN: 1.18750
loss_G_L1: 5.15446
loss_G: 6.34196

Epoch 3/30
Iteration 2100/2500
loss_D_fake: 0.51922
loss_D_real: 0.59335
loss_D: 0.55629
loss_G_GAN: 1.18559
loss_G_L1: 5.17616
loss_G: 6.36175

Epoch 3/30
Iteration 2400/2500
loss_D_fake: 0.51787
loss_D_real: 0.59326
loss_D: 0.55557
loss_G_GAN: 1.18492
loss_G_L1: 5.18622
loss_G: 6.37114
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 4/30
Iteration 300/2500
loss_D_fake: 0.53656
loss_D_real: 0.60033
loss_D: 0.56844
loss_G_GAN: 1.16776
loss_G_L1: 5.24131
loss_G: 6.40907

Epoch 4/30
Iteration 600/2500
loss_D_fake: 0.53427
loss_D_real: 0.60314
loss_D: 0.56871
loss_G_GAN: 1.15835
loss_G_L1: 5.21363
loss_G: 6.37198

Epoch 4/30
Iteration 900/2500
loss_D_fake: 0.52328
loss_D_real: 0.59390
loss_D: 0.55859
loss_G_GAN: 1.18312
loss_G_L1: 5.18592
loss_G: 6.36904

Epoch 4/30
Iteration 1200/2500
loss_D_fake: 0.52065
loss_D_real: 0.59610
loss_D: 0.55838
loss_G_GAN: 1.18831
loss_G_L1: 5.15737
loss_G: 6.34568

Epoch 4/30
Iteration 1500/2500
loss_D_fake: 0.51803
loss_D_real: 0.59385
loss_D: 0.55594
loss_G_GAN: 1.18949
loss_G_L1: 5.19421
loss_G: 6.38370

Epoch 4/30
Iteration 1800/2500
loss_D_fake: 0.51552
loss_D_real: 0.59217
loss_D: 0.55384
loss_G_GAN: 1.19521
loss_G_L1: 5.22891
loss_G: 6.42412

Epoch 4/30
Iteration 2100/2500
loss_D_fake: 0.51536
loss_D_real: 0.59010
loss_D: 0.55273
loss_G_GAN: 1.19638
loss_G_L1: 5.24575
loss_G: 6.44213

Epoch 4/30
Iteration 2400/2500
loss_D_fake: 0.51231
loss_D_real: 0.58760
loss_D: 0.54996
loss_G_GAN: 1.20263
loss_G_L1: 5.25430
loss_G: 6.45693
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 5/30
Iteration 300/2500
loss_D_fake: 0.50716
loss_D_real: 0.58598
loss_D: 0.54657
loss_G_GAN: 1.20859
loss_G_L1: 5.25365
loss_G: 6.46225

Epoch 5/30
Iteration 600/2500
loss_D_fake: 0.50816
loss_D_real: 0.58254
loss_D: 0.54535
loss_G_GAN: 1.21948
loss_G_L1: 5.17329
loss_G: 6.39278

Epoch 5/30
Iteration 900/2500
loss_D_fake: 0.51165
loss_D_real: 0.58726
loss_D: 0.54946
loss_G_GAN: 1.21985
loss_G_L1: 5.12279
loss_G: 6.34264

Epoch 5/30
Iteration 1200/2500
loss_D_fake: 0.51038
loss_D_real: 0.58753
loss_D: 0.54895
loss_G_GAN: 1.22279
loss_G_L1: 5.07192
loss_G: 6.29472

Epoch 5/30
Iteration 1500/2500
loss_D_fake: 0.50763
loss_D_real: 0.58381
loss_D: 0.54572
loss_G_GAN: 1.22866
loss_G_L1: 5.11428
loss_G: 6.34294

Epoch 5/30
Iteration 1800/2500
loss_D_fake: 0.50657
loss_D_real: 0.58389
loss_D: 0.54523
loss_G_GAN: 1.23217
loss_G_L1: 5.14503
loss_G: 6.37720

Epoch 5/30
Iteration 2100/2500
loss_D_fake: 0.50887
loss_D_real: 0.58372
loss_D: 0.54630
loss_G_GAN: 1.23794
loss_G_L1: 5.16736
loss_G: 6.40530

Epoch 5/30
Iteration 2400/2500
loss_D_fake: 0.50761
loss_D_real: 0.58194
loss_D: 0.54477
loss_G_GAN: 1.23572
loss_G_L1: 5.18197
loss_G: 6.41769
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 6/30
Iteration 300/2500
loss_D_fake: 0.49610
loss_D_real: 0.57548
loss_D: 0.53579
loss_G_GAN: 1.26101
loss_G_L1: 5.20400
loss_G: 6.46501

Epoch 6/30
Iteration 600/2500
loss_D_fake: 0.50519
loss_D_real: 0.57596
loss_D: 0.54057
loss_G_GAN: 1.25145
loss_G_L1: 5.11229
loss_G: 6.36373

Epoch 6/30
Iteration 900/2500
loss_D_fake: 0.50508
loss_D_real: 0.57880
loss_D: 0.54194
loss_G_GAN: 1.24225
loss_G_L1: 5.05579
loss_G: 6.29804

Epoch 6/30
Iteration 1200/2500
loss_D_fake: 0.50906
loss_D_real: 0.58360
loss_D: 0.54633
loss_G_GAN: 1.22973
loss_G_L1: 5.01255
loss_G: 6.24228

Epoch 6/30
Iteration 1500/2500
loss_D_fake: 0.50775
loss_D_real: 0.58249
loss_D: 0.54512
loss_G_GAN: 1.22735
loss_G_L1: 5.04460
loss_G: 6.27195

Epoch 6/30
Iteration 1800/2500
loss_D_fake: 0.51011
loss_D_real: 0.58327
loss_D: 0.54669
loss_G_GAN: 1.22869
loss_G_L1: 5.08994
loss_G: 6.31864

Epoch 6/30
Iteration 2100/2500
loss_D_fake: 0.51089
loss_D_real: 0.58263
loss_D: 0.54676
loss_G_GAN: 1.22509
loss_G_L1: 5.11205
loss_G: 6.33713

Epoch 6/30
Iteration 2400/2500
loss_D_fake: 0.50958
loss_D_real: 0.58149
loss_D: 0.54554
loss_G_GAN: 1.22185
loss_G_L1: 5.13054
loss_G: 6.35238
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 7/30
Iteration 300/2500
loss_D_fake: 0.52054
loss_D_real: 0.58118
loss_D: 0.55086
loss_G_GAN: 1.22746
loss_G_L1: 5.17756
loss_G: 6.40502

Epoch 7/30
Iteration 600/2500
loss_D_fake: 0.52581
loss_D_real: 0.58960
loss_D: 0.55770
loss_G_GAN: 1.21098
loss_G_L1: 5.11448
loss_G: 6.32546

Epoch 7/30
Iteration 900/2500
loss_D_fake: 0.52357
loss_D_real: 0.59182
loss_D: 0.55770
loss_G_GAN: 1.21215
loss_G_L1: 5.03795
loss_G: 6.25010

Epoch 7/30
Iteration 1200/2500
loss_D_fake: 0.52631
loss_D_real: 0.59674
loss_D: 0.56153
loss_G_GAN: 1.19908
loss_G_L1: 5.00173
loss_G: 6.20082

Epoch 7/30
Iteration 1500/2500
loss_D_fake: 0.52348
loss_D_real: 0.59452
loss_D: 0.55900
loss_G_GAN: 1.20004
loss_G_L1: 5.02837
loss_G: 6.22841

Epoch 7/30
Iteration 1800/2500
loss_D_fake: 0.52403
loss_D_real: 0.59347
loss_D: 0.55875
loss_G_GAN: 1.20178
loss_G_L1: 5.06693
loss_G: 6.26871

Epoch 7/30
Iteration 2100/2500
loss_D_fake: 0.52297
loss_D_real: 0.59233
loss_D: 0.55765
loss_G_GAN: 1.20030
loss_G_L1: 5.08780
loss_G: 6.28811

Epoch 7/30
Iteration 2400/2500
loss_D_fake: 0.52136
loss_D_real: 0.59065
loss_D: 0.55600
loss_G_GAN: 1.20117
loss_G_L1: 5.10159
loss_G: 6.30275
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 8/30
Iteration 300/2500
loss_D_fake: 0.51997
loss_D_real: 0.57959
loss_D: 0.54978
loss_G_GAN: 1.23594
loss_G_L1: 5.10560
loss_G: 6.34154

Epoch 8/30
Iteration 600/2500
loss_D_fake: 0.52559
loss_D_real: 0.58825
loss_D: 0.55692
loss_G_GAN: 1.21066
loss_G_L1: 5.04463
loss_G: 6.25529

Epoch 8/30
Iteration 900/2500
loss_D_fake: 0.52271
loss_D_real: 0.58834
loss_D: 0.55552
loss_G_GAN: 1.20988
loss_G_L1: 4.99850
loss_G: 6.20839

Epoch 8/30
Iteration 1200/2500
loss_D_fake: 0.52543
loss_D_real: 0.59147
loss_D: 0.55845
loss_G_GAN: 1.19807
loss_G_L1: 4.95449
loss_G: 6.15256

Epoch 8/30
Iteration 1500/2500
loss_D_fake: 0.52207
loss_D_real: 0.58830
loss_D: 0.55518
loss_G_GAN: 1.20166
loss_G_L1: 4.98426
loss_G: 6.18592

Epoch 8/30
Iteration 1800/2500
loss_D_fake: 0.52278
loss_D_real: 0.58867
loss_D: 0.55573
loss_G_GAN: 1.20076
loss_G_L1: 5.02157
loss_G: 6.22233

Epoch 8/30
Iteration 2100/2500
loss_D_fake: 0.52276
loss_D_real: 0.58836
loss_D: 0.55556
loss_G_GAN: 1.19757
loss_G_L1: 5.04484
loss_G: 6.24241

Epoch 8/30
Iteration 2400/2500
loss_D_fake: 0.52049
loss_D_real: 0.58704
loss_D: 0.55377
loss_G_GAN: 1.19978
loss_G_L1: 5.05865
loss_G: 6.25843
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 9/30
Iteration 300/2500
loss_D_fake: 0.52569
loss_D_real: 0.58956
loss_D: 0.55762
loss_G_GAN: 1.20011
loss_G_L1: 5.06995
loss_G: 6.27006

Epoch 9/30
Iteration 600/2500
loss_D_fake: 0.53076
loss_D_real: 0.59157
loss_D: 0.56117
loss_G_GAN: 1.19438
loss_G_L1: 5.00390
loss_G: 6.19828

Epoch 9/30
Iteration 900/2500
loss_D_fake: 0.52519
loss_D_real: 0.58677
loss_D: 0.55598
loss_G_GAN: 1.19571
loss_G_L1: 4.94969
loss_G: 6.14540

Epoch 9/30
Iteration 1200/2500
loss_D_fake: 0.52761
loss_D_real: 0.59100
loss_D: 0.55931
loss_G_GAN: 1.19697
loss_G_L1: 4.90327
loss_G: 6.10024

Epoch 9/30
Iteration 1500/2500
loss_D_fake: 0.52568
loss_D_real: 0.59075
loss_D: 0.55822
loss_G_GAN: 1.19760
loss_G_L1: 4.93834
loss_G: 6.13594

Epoch 9/30
Iteration 1800/2500
loss_D_fake: 0.52335
loss_D_real: 0.58821
loss_D: 0.55578
loss_G_GAN: 1.19858
loss_G_L1: 4.97472
loss_G: 6.17329

Epoch 9/30
Iteration 2100/2500
loss_D_fake: 0.52335
loss_D_real: 0.58696
loss_D: 0.55516
loss_G_GAN: 1.19745
loss_G_L1: 4.99867
loss_G: 6.19612

Epoch 9/30
Iteration 2400/2500
loss_D_fake: 0.52114
loss_D_real: 0.58519
loss_D: 0.55316
loss_G_GAN: 1.20151
loss_G_L1: 5.00755
loss_G: 6.20905
  0%|          | 0/2500 [00:00<?, ?it/s]

